tile,nondora wins,tsumos,rons,ron percent,dora wins,tsumos,rons,ron percent
0,65611,21658,43953,67.0,2900,1259,1641,56.6
1,100903,36111,64792,64.2,3702,2004,1698,45.9
2,118256,47374,70882,59.9,4307,2496,1811,42.0
3,119621,54284,65337,54.6,4042,2466,1576,39.0
4,118836,56060,62776,52.8,4085,2574,1511,37.0
5,119937,54446,65491,54.6,3891,2372,1519,39.0
6,118759,47296,71463,60.2,4143,2394,1749,42.2
7,102107,36725,65382,64.0,3682,1924,1758,47.7
8,67001,22348,44653,66.6,2642,1187,1455,55.1
9,65583,21520,44063,67.2,2924,1355,1569,53.7
10,100912,36189,64723,64.1,3757,1988,1769,47.1
11,118011,47404,70607,59.8,4253,2475,1778,41.8
12,118559,53871,64688,54.6,4202,2557,1645,39.1
13,119555,56225,63330,53.0,4125,2613,1512,36.7
14,119046,53711,65335,54.9,3965,2466,1499,37.8
15,119031,47503,71528,60.1,4132,2391,1741,42.1
16,101593,36573,65020,64.0,3571,1844,1727,48.4
17,66356,21934,44422,66.9,2729,1265,1464,53.6
18,64602,21344,43258,67.0,2847,1316,1531,53.8
19,100555,35917,64638,64.3,3737,2038,1699,45.5
20,117886,47063,70823,60.1,4265,2505,1760,41.3
21,117962,53102,64860,55.0,3956,2416,1540,38.9
22,118201,55585,62616,53.0,4115,2556,1559,37.9
23,118237,53244,64993,55.0,3942,2403,1539,39.0
24,118767,47304,71463,60.2,4136,2430,1706,41.2
25,101301,36204,65097,64.3,3565,1882,1683,47.2
26,65637,21399,44238,67.4,2681,1202,1479,55.2
27,24944,7475,17469,70.0,2408,995,1413,58.7
28,25311,7233,18078,71.4,2279,851,1428,62.7
29,20633,5655,14978,72.6,1937,755,1182,61.0
30,20699,5644,15055,72.7,2009,764,1245,62.0
31,30830,9018,21812,70.7,2448,1046,1402,57.3
32,30634,8816,21818,71.2,2521,1043,1478,58.6
33,30568,8853,21715,71.0,2460,1039,1421,57.8
